Price,QuantityInStock,WeightInGrams,LengthInCentimeters,WidthInCentimeters,UnitsSold
3277,23,9196,293,13401,394
20647,25,6590,490,14430,282
2660,46,7015,260,11290,266
6731,33,5385,271,14877,334
21757,35,3560,83,7705,164
29334,30,8517,179,13745,12
21906,26,3869,140,5179,482
7384,33,5328,391,13149,157
20732,21,9155,362,5836,218
28267,31,5509,84,8212,122
27271,42,9593,458,12324,163
20907,35,9893,166,5060,121
27463,10,6997,173,10812,369
15170,29,4499,245,11761,53
9577,32,9159,412,12649,379
11703,41,9094,423,11417,5
19884,29,5191,253,11283,224
20691,21,6326,240,14562,300
27976,43,6900,201,14723,108
28826,28,9786,142,13684,261
25001,37,1714,470,13144,90
10052,36,9340,169,7928,428
24022,14,9800,483,8709,6
29995,43,3384,281,8142,63
26498,44,6053,83,6226,64
10845,27,5343,372,7819,243
25696,44,4104,189,6501,227
25688,41,6574,216,4123,435
6629,44,1579,67,8641,165
26145,11,7419,384,4406,269
5992,11,3359,94,5388,182
24613,25,7582,317,12204,207
3398,45,7619,445,4012,376
25210,20,1430,320,8255,342
25630,39,2346,418,12144,395
20980,14,9197,416,5932,431
18230,34,7801,351,11194,368
10398,29,2969,93,5234,466
13957,23,9072,398,5189,203
13932,23,3757,180,6251,115
14171,35,4103,228,12525,190
20282,13,8168,452,13740,456
10884,40,8931,465,5883,250
24755,29,5773,88,10674,347
28450,28,6201,466,4858,203
7612,42,2765,94,10014,250
20028,15,4350,246,4445,208
15483,25,7426,414,12847,227
16902,44,4419,188,4146,417
9161,27,9467,201,10163,321
11809,36,2807,450,9407,497
5730,39,7113,60,7678,313
4535,11,7144,218,10165,45
23421,27,7538,193,13103,260
3713,11,3982,479,6323,270
27064,45,8248,492,8988,378
15204,44,2193,224,14826,159
2332,13,6471,70,7987,450
5128,35,5070,244,9112,212
14810,30,4312,301,14242,304
7376,29,4149,260,11123,310
2656,24,4191,242,10657,494
8461,23,2501,370,9856,269
8691,37,8245,224,10727,399
4921,15,6739,283,10471,174
24439,49,1923,427,8452,96
20372,21,1292,420,8344,422
10551,45,1748,293,7403,319
17035,44,8577,102,7180,314
9803,17,1133,390,10659,284
11253,27,5598,400,12615,100
18475,43,7943,350,7919,184
17733,20,7391,92,12514,382
18131,29,1736,489,9952,73
17051,12,2027,396,5460,172
17504,28,4640,262,9478,46
14231,40,7268,136,12104,412
24425,18,6692,235,11809,110
20161,30,1473,338,5642,234
17988,18,2330,261,6869,123
5024,20,5165,111,4899,335
24778,48,2646,286,12680,184
29580,42,6973,320,12697,155
19757,37,8769,203,4735,363
6485,49,8183,380,4142,18
27427,18,5163,374,7205,408
19480,19,6403,150,6460,282
8647,10,3040,201,11173,193
29671,20,5180,213,13437,297
19228,32,3102,477,13979,278
19535,28,2027,146,10025,175
21104,25,6362,105,11699,247
4253,20,4314,187,9706,9
28703,37,9217,140,11314,497
28864,30,9547,482,14462,481
24543,43,6979,202,8219,320
9074,45,8058,325,9252,288
24500,27,1505,262,4158,166
25230,47,8230,156,12649,136
28230,31,8298,188,12656,88
9335,33,3692,138,11866,115
20887,10,4394,333,13108,319
2940,20,5552,285,5192,215
14625,15,7578,324,5633,423
25377,38,9635,308,6772,112
19810,48,8575,385,5030,166
14405,31,7541,450,4779,190
7296,47,1982,489,7057,393
23534,28,6915,454,4644,446
24067,37,4768,209,12173,160
18270,37,4871,444,5218,439
6356,10,9181,291,4076,369
10958,22,7274,487,4190,381
4117,17,4241,118,7068,155
18306,12,9667,198,4810,266
2510,18,2115,381,8789,79
13588,15,5134,421,10365,10
21983,16,2397,176,9864,396
12308,34,8201,268,8842,309
2892,34,7693,418,9424,442
10204,21,9963,403,14274,155
26494,45,3389,295,14580,277
10689,39,4534,196,8948,296
9540,18,4542,158,7973,429
10944,28,7220,84,12324,431
8149,23,1997,361,8182,34
8822,10,9493,349,13966,259
13828,11,5396,457,9447,90
28866,21,4006,276,12142,151
20215,28,9036,334,12285,8
15383,12,7964,207,5531,49
3516,12,9594,178,8371,371
12327,24,1772,401,14260,249
10691,42,4065,182,10056,146
15498,41,1455,404,10419,392
9535,28,1569,153,5756,84
25073,37,1945,63,11315,269
26833,11,2513,373,10854,365
15535,32,1330,416,12301,168
29947,49,4475,474,8450,121
11834,33,6481,50,4585,64
15563,21,6892,157,9612,289
20118,29,9116,235,9774,383
15148,33,7259,270,14249,184
20039,25,8374,177,9958,154
11040,45,8189,315,4678,414
19847,33,9541,158,8404,342
19321,44,4207,81,7539,133
3012,27,4393,421,5065,372
18907,23,4834,422,8312,8
9377,17,2374,232,7773,350
26816,19,5576,362,7959,423
11573,21,8862,50,9973,331
15193,19,7411,172,10679,239
11988,10,1579,339,14445,160
7043,34,4838,182,14325,459
4105,21,6146,176,14689,53
10541,20,3482,432,7848,255
3629,18,6591,464,10001,285
25611,10,4007,449,5601,5
20901,37,3896,402,8679,321
18589,24,7078,456,4178,396
29389,31,2125,328,4903,465
19028,20,4973,320,11130,46
9143,40,6699,265,13180,390
12663,34,8968,256,12730,460
23339,21,3631,424,4562,259
11073,11,7502,408,6813,177
21055,10,6986,98,8019,241
4442,17,4182,171,7405,341
26177,33,4420,305,11263,487
2832,27,8302,344,9265,326
11117,29,5572,209,7542,282
18369,13,6336,125,14720,271
22966,10,3623,427,8885,453
3666,44,2641,86,6535,433
16475,15,2760,455,14547,272
23256,42,2726,165,4847,244
16638,25,5493,242,9175,161
8144,48,1051,218,11248,424
15835,12,4518,398,11265,5
24128,28,1550,380,8627,416
5510,30,6372,136,6042,255
13178,26,3106,258,5677,281
26601,40,6568,389,7315,352
6630,44,2858,243,7418,489
3430,13,4141,341,4434,92
8194,36,6091,364,8600,101
25381,41,5653,326,4392,199
26730,42,2071,126,14705,350
26924,23,8033,133,6401,390
8777,35,8832,242,5674,435
4396,25,9123,328,9222,451
13927,14,2358,277,13985,231
22868,23,3733,290,14354,144
29328,38,4160,420,10425,411
18267,31,7232,91,8349,60
28857,13,9519,374,14973,482
4822,34,4885,465,11441,61
15308,21,9318,420,5863,314
10432,49,1432,346,13674,465
29745,20,6869,399,9745,202
19506,42,9979,93,12592,135
25717,19,2823,145,8196,437
6573,42,1080,185,11507,179
11074,29,3725,351,9323,10
25428,37,6231,369,9745,336
11281,37,3686,448,14975,244
4967,32,9138,439,12076,237
17944,44,7837,460,14673,63
29769,14,3314,128,11442,221
28814,47,8425,148,14275,171
21260,16,6924,92,9772,138
6560,26,2465,379,9717,122
4642,11,8658,152,9331,47
4966,36,3196,143,14955,219
11854,18,3909,441,10757,470
7873,18,3597,81,8652,280
26619,39,6985,440,12943,353
22530,20,5724,65,13287,73
29127,10,1602,187,11365,304
20017,49,3577,80,9560,159
24954,45,3059,374,11121,337
15843,43,6330,97,14587,446
8421,44,1924,89,12190,329
14331,21,7728,426,8754,233
8785,22,8612,355,7358,446
14191,37,6545,438,11341,169
24596,24,1605,236,13353,252
27232,24,2812,329,5416,43
25141,44,4585,321,14733,65
27044,48,8227,203,8371,148
7027,16,7771,236,6639,171
2251,39,8025,53,4070,472
15637,44,1918,470,13590,100
20684,42,7202,445,10279,186
19670,46,9899,262,7610,304
27588,49,6694,289,14432,77
12839,27,6656,295,12662,298
16105,16,1815,112,11039,399
8109,34,9718,220,6092,126
29070,26,5417,210,14857,257
21343,13,7811,99,5923,215
16527,41,9779,79,7175,347
17502,22,8766,310,11750,266
24092,30,3621,413,5173,241
20857,22,5716,392,8263,377
23923,20,2025,123,4142,224
4074,48,6255,232,7252,208
8045,31,7132,282,9313,13
16772,40,2795,420,9318,356
18175,12,9034,131,10016,420
15728,15,6579,121,13725,94
18082,37,5810,140,9600,352
19358,33,9928,429,4265,183
16012,32,9878,313,10468,380
29893,36,4903,334,13631,164
7572,35,9427,443,11694,11
23568,46,6031,334,7518,333
7609,24,9648,334,10562,244
12802,45,9813,116,11452,154
7146,11,4901,145,10733,9
14150,19,7316,341,13751,375
3509,45,1186,223,8875,437
13902,13,8968,151,13217,46
13794,16,9023,242,5234,393
22635,25,9488,200,12821,34
17385,24,3764,147,13329,134
19672,45,4101,364,13150,389
15582,43,8222,299,13242,431
16117,39,7059,213,4086,255
12787,29,5260,358,12979,74
14887,30,5399,381,8323,282
28577,45,3572,485,4555,317
7062,48,6691,247,6594,196
26041,27,8128,405,6610,145
21350,40,3271,227,11244,74
3250,44,9623,198,10260,318
28180,49,5031,345,8236,345
2187,32,7309,187,4536,93
22335,19,8198,63,10445,269
28944,18,9470,330,8531,442
15145,32,8500,167,10808,398
7475,28,5840,239,5315,197
23545,24,5307,447,6707,320
6013,46,9139,493,14993,52
13464,38,6559,122,11654,279
16499,14,7467,70,5239,185
22334,33,2491,149,7005,354
16352,38,4754,480,10090,103
14551,23,6747,56,12113,22
14273,34,8887,324,11392,449
23599,18,8618,185,7664,98
25581,33,2464,447,6675,90
18309,14,8328,182,7328,377
26125,16,2862,152,14453,360
11351,34,1152,420,11437,212
26804,24,1615,289,10983,102
12944,26,1485,148,6146,235
21256,46,1689,90,9326,359
21025,18,2955,404,5084,195
16523,41,3076,493,12629,208
14538,45,8341,229,6880,65
13227,37,2410,111,5789,285
19248,10,8250,476,10651,299
21337,23,2116,218,14846,366
20985,29,8813,248,6543,352
6453,19,8037,100,7841,435
4818,14,1848,352,8558,335
8539,28,7708,118,10071,66
3831,34,2889,420,13306,111
9856,17,4749,465,6482,32
11212,15,8232,354,11429,36
12958,40,2222,455,7277,402
14147,13,4179,254,11565,330
19385,31,6416,402,9598,100
28999,34,3625,85,11312,205
14861,41,1681,216,10219,350
21695,23,7413,391,11903,9
23791,25,5415,470,14207,241
6908,33,5746,311,13985,176
17476,34,6142,277,13589,438
20181,29,8501,434,8129,165
10468,36,5607,74,11394,378
5381,15,8702,179,11281,336
9621,33,7694,64,12600,320
6162,17,4208,190,13870,418
23611,45,2029,230,13976,37
22102,11,6153,268,12428,201
15430,49,9559,401,13679,495
29569,44,1662,325,14498,202
25806,11,3352,497,4262,263
16932,35,4456,315,14805,74
15609,44,1793,344,7776,203
28115,26,2304,485,12866,461
14183,20,2694,452,6738,427
8818,39,3326,275,14954,126
19399,45,8871,409,7404,332
4442,13,3092,396,9695,59
14195,32,9020,89,12492,415
21334,29,4044,154,4203,407
14710,24,7574,116,9351,278
11782,40,6702,148,14527,25
29679,33,1373,278,9056,410
23315,26,2395,123,11854,213
6984,15,1092,203,4855,95
16529,28,4685,409,14503,17
11562,27,1080,268,9147,280
19266,44,8489,250,13554,5
23236,45,7025,186,14468,296
7296,27,3074,467,10938,153
5130,39,1952,81,8268,149
14900,27,1499,189,4109,45
29731,41,1438,166,5472,39
20639,24,2116,395,9924,341
8700,34,3386,151,6849,419
5463,13,8844,83,11655,294
17044,44,5634,160,8595,459
20719,25,3141,310,11613,63
5632,14,6417,58,11922,278
20014,18,9403,64,12650,307
29785,16,5051,290,10333,305
6509,13,3758,289,4987,295
14485,44,1429,358,5810,252
8490,38,4092,317,6268,363
8659,46,2042,339,5696,273
7185,47,3697,426,12963,343
10788,19,1740,414,13317,418
10850,29,2307,145,9968,273
27811,40,2393,67,9080,173
19907,18,4948,382,8960,86
4844,24,5294,279,6208,225
3114,25,9288,232,12941,465
27522,17,9798,412,11904,99
10828,23,4864,258,13499,168
6451,24,3575,392,6857,112
19711,13,8859,76,4327,264
4337,10,1421,475,7106,381
15037,38,1112,489,10124,424
4380,36,2355,492,11460,251
14571,30,2076,474,10136,161
17569,35,1477,265,8237,268
25136,25,7070,125,4824,234
19805,25,6149,225,13311,172
14781,21,7151,450,9458,22
28677,19,6273,426,13436,319
26285,12,6125,315,6853,312
12912,38,3702,428,10428,339
28545,46,7805,369,14827,458
7933,11,1704,485,11933,488
20696,31,2959,106,14764,75
16242,26,9313,378,11057,50
26744,45,8815,398,8106,66
8090,16,1444,460,8048,31
19750,34,8739,456,12420,402
18282,23,2619,109,10653,411
27667,33,8624,196,12592,175
27575,41,9165,487,13396,210
5238,25,9612,333,4286,88
21309,39,6140,189,6720,325
4587,36,7728,231,5307,342
8857,41,5503,145,7874,308
28307,13,1294,272,13557,337
7202,43,7387,234,4484,70
24169,13,7125,186,7377,76
25440,49,3514,80,7898,46
26458,39,6469,55,7779,360
13813,47,1674,398,14709,232
19571,24,6074,70,11065,458
11142,13,7710,406,13007,396
26521,46,3221,436,9312,164
14408,37,5716,283,13095,247
23198,27,2098,309,11225,87
29870,49,3080,114,5350,367
17075,32,8230,215,11949,378
6617,22,3809,147,6755,305
11910,43,7161,305,6245,240
3678,16,3110,310,6131,256
19882,24,6442,360,10158,492
19287,26,9423,175,8789,142
24792,40,3056,317,11737,332
18966,46,1356,260,14752,229
15339,35,4698,279,11035,271
2253,21,6781,321,9781,111
6319,49,2371,207,11742,174
8862,19,8428,494,6439,426
29429,17,7992,386,5338,62
21978,49,1772,114,5020,303
6910,45,4681,167,13446,66
28530,40,9173,177,6474,150
6501,13,7623,498,7426,311
17267,11,6672,399,6547,219
22541,21,3865,70,4675,339
20633,39,2603,385,7782,58
21895,20,5153,115,9873,396
15114,24,6907,337,13903,486
2684,35,2846,498,5324,386
7620,29,5398,89,10485,70
28876,14,9783,371,7613,303
29602,33,8770,286,6725,75
22515,37,2305,123,4705,201
18121,21,1889,269,8898,220
9545,27,3915,291,13302,401
23555,38,6251,399,11197,120
6927,28,9514,172,8629,207
9109,43,9669,275,11860,349
24736,20,5461,245,4646,32
19523,40,8206,407,14036,290
6445,22,9127,475,14773,137
15766,35,3619,380,5030,58
29712,15,3059,52,13586,422
18992,26,5431,300,8923,158
6824,29,7670,343,9372,421
13418,15,4638,173,12212,444
15070,37,4104,335,14710,98
18828,39,9758,75,14186,419
15047,42,9923,183,11383,78
16464,43,1106,255,7000,367
17035,18,5828,264,9522,283
19377,30,3939,85,11467,356
27113,37,8116,269,13346,475
8516,19,4335,298,8871,224
3592,43,4320,56,14746,260
8921,38,6138,270,13075,364
5465,23,4507,468,14507,28
18043,36,4637,336,4004,50
6782,14,1638,152,11608,128
23530,39,6714,280,4756,157
2159,41,4820,238,6824,241
7275,13,9211,395,10002,154
15946,48,7183,466,8306,412
22273,16,2365,255,8183,271
12647,36,3004,269,13408,280
19643,35,7119,247,7841,66
16590,33,9561,275,11854,136
16395,48,9474,258,8504,431
27841,18,2996,223,5201,121
21665,25,3002,400,9212,173
26142,43,8250,128,7662,443
5270,34,3288,169,6015,267
14796,26,9009,129,10593,349
26533,45,5964,476,14463,7
14598,13,9290,146,9799,85
2803,47,1987,241,12204,359
15742,10,4568,64,8148,185
13696,38,2768,92,11518,223
24006,32,4845,164,8896,491
24852,20,6747,154,10380,296
19037,36,1552,382,5666,180
13652,40,8674,429,4847,191
15930,29,3430,412,14430,370
13682,39,5309,276,8306,229
7559,28,1778,193,13074,17
16893,12,1392,423,6644,479
15335,20,6599,112,6858,277
22202,10,6458,223,6658,460
16325,28,3021,363,13432,315
19955,30,5895,300,5649,344
8978,25,3215,88,11479,232
24167,49,2506,118,5661,139
17387,38,7061,394,13100,127
13793,21,4161,327,5946,294
16659,10,7610,57,7277,89
29741,14,5920,157,9436,311
28326,41,6359,329,9272,186
8955,24,8215,59,11092,68
24517,19,8475,478,8796,306
3651,15,7318,178,7351,346
11749,19,2422,410,11257,44
29610,19,1106,448,4635,367
3388,18,1294,429,8826,370
8033,29,1694,247,6852,50
16124,22,4546,371,13593,276
26660,40,3360,316,11127,337
14619,38,7593,65,8299,257
26591,38,2809,439,14900,107
8318,17,2907,124,12519,55
18590,47,4256,205,8320,120
5948,28,4087,245,11236,445
27676,44,6177,58,7907,147
14180,13,1590,412,13693,149
24824,18,7166,85,10893,431
3121,23,4992,420,4403,343
23464,21,1257,176,6641,261
29938,31,8340,373,8022,23
22748,29,8068,340,6395,59
20779,32,3822,275,4170,285
29639,23,2138,337,10850,319
17029,45,9964,443,6853,260
2717,37,3633,489,7271,91
18628,13,4545,447,6029,136
25865,14,2652,365,9092,336
28531,44,6168,379,7651,271
16532,37,9104,313,7564,352
18629,16,5284,419,5135,435
2783,48,4110,296,8082,126
26267,43,4303,123,13991,52
10699,48,8461,98,13543,492
12976,25,9579,293,7428,164
7343,22,8589,156,11802,291
24056,23,6259,411,13879,450
5183,17,2640,245,12686,223
20552,13,8859,189,10263,120
10472,15,4024,227,10669,187
16280,40,7736,190,10081,351
11291,37,9022,98,10163,321
22342,18,2968,226,12126,80
28674,24,1487,260,5378,185
25099,45,9499,468,11034,258
6732,10,7425,204,12026,147
14555,19,3669,482,12139,130
16979,21,3225,155,12072,276
14244,29,5332,487,10215,385
6520,36,1262,130,14802,174
10598,30,1358,128,6953,208
3314,48,9612,409,4309,328
17498,30,7868,170,12275,448
22656,49,4594,491,11618,484
19304,12,3312,132,5228,395
5753,43,7349,60,8892,24
27704,37,9161,283,10721,340
15274,45,6534,353,4930,273
6561,38,2086,303,8450,66
26865,10,6641,181,6313,408
14103,30,8117,177,8396,213
17341,29,5745,379,8818,193
23626,41,3873,466,9575,469
22680,28,1823,163,12732,93
10612,27,2726,345,9895,34
12895,44,3668,407,11679,312
7904,16,6398,394,9264,103
7619,23,4245,86,6872,228
4675,36,9216,219,5955,89
22605,23,7853,286,11398,102
26105,42,1152,76,9639,465
10459,32,6250,248,8907,70
11648,15,5718,75,9242,460
17649,33,2092,293,14907,152
16730,16,5585,310,7825,491
28366,41,6809,184,9551,246
11007,39,3484,315,14568,64
9672,32,2105,410,14399,238
23528,29,2279,241,12530,109
6493,41,4789,212,5152,475
21328,37,6637,75,4693,273
26165,33,6467,382,7218,348
29301,31,4154,252,11436,151
10366,35,3778,70,6935,250
10465,45,8741,125,4339,437
14775,38,6805,478,7009,235
10003,38,6851,496,7466,28
13962,41,2907,114,7499,304
24620,21,4263,334,10082,358
3507,19,5489,428,7721,176
13731,46,8314,194,12098,407
20356,19,5309,334,9321,209
4011,41,5526,315,8017,55
15349,20,1631,492,4959,499
10057,34,8175,87,12106,108
17042,28,1086,440,4922,444
27389,18,2201,132,5547,169
19107,36,4954,80,5663,338
2252,17,8854,349,13703,470
18865,16,6009,439,6793,93
6609,24,7192,499,14748,187
13124,20,8808,69,12075,7
6289,37,9279,152,12781,458
4146,27,5024,129,9323,455
13611,12,1728,105,13557,5
6991,21,3102,143,10575,16
12605,35,6252,91,13452,54
4455,47,2722,227,13804,74
28772,45,2115,390,5727,258
17106,46,6882,494,14176,123
14426,29,4824,231,12530,77
25368,39,2177,113,6735,104
11309,24,5751,486,10131,258
29347,11,3924,201,6481,159
23003,12,4991,430,9658,289
9433,11,6115,351,5319,294
15541,30,6371,499,8474,462
21176,31,7823,410,5377,489
13236,36,2270,100,10854,442
26308,40,8846,95,13213,499
11245,45,6308,200,12853,239
20890,14,7690,240,9487,115
5143,33,8577,178,5805,492
15434,27,1980,299,10613,164
11610,20,9595,299,10339,267
13725,13,1694,123,14061,283
25892,29,5005,144,14374,342
16219,45,2444,175,13653,194
21551,28,9729,494,14606,190
7327,31,8283,330,13758,11
9516,31,5646,394,14005,153
14747,25,8442,238,4356,336
3095,44,6823,303,4313,159
9725,43,7724,222,9361,53
14003,19,1561,278,9041,237
16209,49,6629,482,12023,84
11425,10,9444,139,5901,18
25094,27,5052,469,4015,449
11442,19,9966,113,6184,160
26786,11,2400,438,14889,264
15061,39,9930,419,4623,67
27879,25,8918,65,9105,30
2839,21,9964,268,10810,419
10579,18,2677,148,7725,334
23402,10,4292,172,10062,118
15492,27,1418,223,5601,221
10872,45,7157,308,9555,67
7884,29,4162,344,10333,177
16749,49,9475,231,5206,62
29649,10,1746,139,13016,468
25714,43,7452,131,9180,101
7092,18,1937,380,8358,291
3941,35,1538,301,8611,264
13376,23,6922,169,4881,70
26591,33,4583,317,12649,218
21697,13,8582,444,13487,127
6829,37,7382,430,5977,278
25182,34,7144,308,6782,318
11159,48,5750,308,10095,57
18184,43,7105,466,13653,221
10390,11,3015,196,10488,159
28360,10,3620,376,8699,8
7227,32,3239,449,9477,79
13732,49,8041,336,7299,200
11830,24,1197,263,9757,480
6327,20,8362,430,5058,427
18447,34,5869,104,14064,423
21697,12,8628,494,11766,461
24739,48,8244,363,8366,249
9130,35,4672,279,12324,276
20811,15,2626,216,5721,127
14690,21,1687,345,9813,45
21578,46,7973,395,5631,394
27533,26,3806,305,4165,91
6716,31,6601,99,8874,252
5941,49,4469,483,8893,269
6053,39,1537,315,5552,146
17311,25,8622,121,9467,173
27117,43,9722,376,6389,327
21952,15,9846,266,14636,220
3007,32,6854,465,14942,327
20430,42,4541,117,12544,404
4008,48,8204,296,10429,489
7985,48,8233,324,14646,246
21240,25,4167,53,4727,370
8314,23,7182,482,8109,9
4317,17,5317,146,6055,127
19730,15,6455,110,9010,91
20510,49,8419,98,6928,395
17567,17,8333,400,11033,232
3739,45,2877,469,9307,262
20363,20,5076,459,13194,424
19267,19,8361,418,4585,397
29625,43,2638,60,5608,230
24111,26,6743,177,10065,48
23858,43,6100,484,13420,404
29330,24,8933,336,5246,166
2695,10,8374,236,13599,87
6435,15,1466,166,11718,289
3373,47,3969,383,7102,29
9740,43,9399,93,12852,28
14220,20,4514,207,6785,66
9317,38,5216,447,4349,458
27586,46,7995,228,10557,193
21070,18,2436,191,4305,332
20612,21,8018,316,4637,9
27151,36,8102,174,9569,394
18604,36,8715,395,11340,89
11121,35,1450,190,8048,313
24878,13,3296,366,12963,446
19235,15,8629,340,4381,457
18891,28,7933,443,12068,120
6175,14,5407,81,11210,65
9895,19,1599,476,5119,356
17167,37,9263,99,6468,26
25879,28,8168,283,13681,68
26211,47,7042,117,8741,475
27381,17,8476,55,6995,386
27632,42,1768,379,10948,137
24139,20,5700,480,9306,93
3425,35,1297,88,9228,382
13722,39,9540,96,10435,182
17388,49,3515,95,6010,445
5108,45,7418,223,4159,472
27958,14,4083,357,13762,31
11791,25,3898,203,14202,135
27432,28,6110,347,8740,286
17671,31,5429,315,8273,243
15833,31,5372,332,12666,365
22755,29,4061,85,14672,385
10711,23,2747,170,12978,338
28052,11,7708,255,8343,240
